2026-09-01 20:47:52,620 [WARNING] Missing file pair for lead f0720h. Skipping.
VAR   | LEAD   | RMSE     | BIAS     | ACC     | FCST MIN/MAX           | TRUTH MIN/MAX
W     | f018h  | 0.5614   | -0.3353  | 0.0815  | -3.80 / 2.97           | -4.79 / 4.23
W     | f024h  | 0.6148   | -0.4394  | 0.1063  | -3.51 / 2.62           | -4.90 / 4.85
W     | f030h  | 0.6975   | -0.5239  | 0.0407  | -3.53 / 2.24           | -5.96 / 4.98
W     | f036h  | 0.7503   | -0.5758  | 0.0335  | -2.95 / 2.16           | -4.83 / 5.12
W     | f042h  | 0.7733   | -0.6095  | 0.0302  | -3.15 / 1.94           | -5.70 / 4.87
W     | f048h  | 0.7756   | -0.6153  | 0.0457  | -2.52 / 1.97           | -6.68 / 5.60
W     | f054h  | 0.8005   | -0.6273  | 0.0288  | -2.75 / 1.75           | -5.90 / 6.37
W     | f060h  | 0.8244   | -0.6340  | 0.0157  | -2.21 / 1.93           | -6.15 / 8.15
W     | f066h  | 0.8268   | -0.6383  | 0.0171  | -2.47 / 1.93           | -5.69 / 5.06
W     | f072h  | 0.8182   | -0.6320  | 0.0355  | -2.14 / 2.18           | -6.42 / 4.54
W     | f078h  | 0.8386   | -0.6429  | 0.0262  | -2.18 / 2.16           | -5.88 / 5.56
W     | f084h  | 0.8594   | -0.6489  | 0.0173  | -2.21 / 2.36           | -5.24 / 6.51
W     | f090h  | 0.8625   | -0.6586  | 0.0110  | -2.20 / 2.32           | -6.72 / 6.66
W     | f096h  | 0.8560   | -0.6532  | 0.0319  | -2.22 / 2.47           | -6.04 / 5.81
W     | f102h  | 0.8806   | -0.6630  | 0.0132  | -2.21 / 2.41           | -5.55 / 6.39
W     | f108h  | 0.8940   | -0.6677  | 0.0048  | -2.25 / 2.53           | -5.93 / 4.79
W     | f114h  | 0.8955   | -0.6743  | 0.0087  | -2.28 / 2.46           | -4.74 / 5.56
W     | f120h  | 0.8902   | -0.6697  | 0.0124  | -2.36 / 2.53           | -4.22 / 5.65
---------------------------------------------------------------------------------------------------------
Q     | f006h  | 5.4801   | 4.8949   | 0.9120  | 3.64 / 33.72           | 0.00 / 28.35
Q     | f012h  | 10.7934  | 10.3780  | 0.8737  | 8.28 / 35.00           | 0.00 / 30.63
Q     | f018h  | 15.1638  | 14.8414  | 0.8576  | 12.45 / 35.00          | 0.00 / 29.16
Q     | f024h  | 19.2827  | 19.0061  | 0.8394  | 16.96 / 35.00          | 0.00 / 29.55
Q     | f030h  | 22.7441  | 22.4413  | 0.7915  | 21.28 / 35.00          | 0.00 / 30.46
Q     | f036h  | 25.3700  | 24.9112  | 0.6550  | 25.00 / 35.00          | 0.00 / 29.92
Q     | f042h  | 26.8789  | 26.2672  | 0.3563  | 29.49 / 35.00          | 0.00 / 28.34
Q     | f048h  | 27.1006  | 26.4541  | 0.0551  | 33.21 / 35.00          | 0.00 / 27.91
Q     | f054h  | 27.1074  | 26.4633  | 0.0000  | 35.00 / 35.00          | 0.00 / 29.82
Q     | f060h  | 27.1328  | 26.4880  | 0.0000  | 35.00 / 35.00          | 0.00 / 28.78
Q     | f066h  | 27.0982  | 26.4542  | 0.0000  | 35.00 / 35.00          | 0.00 / 27.66
Q     | f072h  | 27.1026  | 26.4633  | 0.0000  | 35.00 / 35.00          | 0.00 / 27.25
Q     | f078h  | 27.1637  | 26.5484  | 0.0000  | 35.00 / 35.00          | 0.00 / 27.40
Q     | f084h  | 27.1426  | 26.5167  | 0.0000  | 35.00 / 35.00          | 0.00 / 28.17
Q     | f090h  | 27.1532  | 26.5230  | 0.0000  | 35.00 / 35.00          | 0.00 / 28.48
Q     | f096h  | 27.1885  | 26.5651  | 0.0000  | 35.00 / 35.00          | 0.00 / 27.57
Q     | f102h  | 27.2823  | 26.6741  | 0.0000  | 35.00 / 35.00          | 0.00 / 29.44
Q     | f108h  | 27.2851  | 26.6728  | 0.0000  | 35.00 / 35.00          | 0.00 / 29.35
Q     | f114h  | 27.2386  | 26.6146  | 0.0000  | 35.00 / 35.00          | 0.00 / 28.87
Q     | f120h  | 27.2454  | 26.6180  | 0.0000  | 35.00 / 35.00          | 0.00 / 27.56
---------------------------------------------------------------------------------------------------------
2026-09-01 20:48:20,148 [INFO] Saved metric curves to: verification_results/verification_metrics_curves.png
2026-09-01 20:49:20,474 [INFO] Saved spatial error heatmaps to: verification_results/spatial_error_heatmaps_panel.png

8/31/2026
	with state-balance. Epoch 6

VAR   | LEAD   | RMSE     | BIAS     | ACC     | FCST MIN/MAX           | TRUTH MIN/MAX
---------------------------------------------------------------------------------------------------------
T     | f006h  | 6.2285   | -0.2116  | 0.9201  | 229.79 / 317.35        | 226.49 / 315.76
T     | f012h  | 9.6380   | -3.3879  | 0.8211  | 219.86 / 317.35        | 222.80 / 313.86
T     | f018h  | 12.6007  | -5.4786  | 0.7603  | 217.09 / 317.35        | 222.36 / 309.98
T     | f024h  | 15.0273  | -6.9036  | 0.6908  | 209.21 / 317.35        | 225.64 / 310.76
T     | f030h  | 17.9573  | -8.2326  | 0.6186  | 203.08 / 317.35        | 220.82 / 315.19
T     | f036h  | 20.4518  | -8.8341  | 0.5471  | 198.27 / 317.35        | 220.32 / 312.90
T     | f042h  | 22.9937  | -9.1389  | 0.4846  | 190.82 / 317.35        | 218.71 / 309.87
T     | f048h  | 25.6021  | -9.6427  | 0.4274  | 188.67 / 317.35        | 224.41 / 312.23
T     | f054h  | 28.3310  | -10.3734 | 0.3800  | 188.67 / 317.35        | 216.56 / 316.02
T     | f060h  | 30.8088  | -10.9758 | 0.3415  | 188.67 / 317.35        | 217.72 / 313.81
T     | f066h  | 33.1309  | -11.6627 | 0.3112  | 188.67 / 317.35        | 220.03 / 310.41
T     | f072h  | 35.5859  | -12.9040 | 0.2809  | 188.67 / 317.35        | 221.61 / 312.01
T     | f078h  | 38.1032  | -14.4076 | 0.2541  | 188.67 / 317.35        | 218.82 / 316.35
T     | f084h  | 40.3950  | -15.6762 | 0.2284  | 188.67 / 317.35        | 217.42 / 313.92
T     | f090h  | 42.5080  | -16.8900 | 0.2055  | 188.67 / 317.35        | 217.42 / 311.54
T     | f096h  | 44.6876  | -18.5218 | 0.1843  | 188.67 / 317.35        | 222.21 / 312.95
T     | f102h  | 46.9203  | -20.2661 | 0.1639  | 188.67 / 317.35        | 220.92 / 314.68
T     | f108h  | 48.8968  | -21.6559 | 0.1434  | 188.67 / 317.35        | 219.34 / 315.38
T     | f114h  | 50.5876  | -22.8045 | 0.1246  | 188.67 / 317.35        | 218.54 / 313.40
T     | f120h  | 52.2820  | -24.2411 | 0.1081  | 188.67 / 317.35        | 222.81 / 313.03
---------------------------------------------------------------------------------------------------------
P     | f006h  | 35.1999  | 22.2192  | 0.4747  | 854.80 / 1058.73       | 894.89 / 974.13
P     | f012h  | 59.8941  | 47.9484  | 0.4088  | 834.11 / 1058.73       | 894.94 / 981.37
